@relation courses
@attribute voteCount NUMERIC
@attribute voteValue NUMERIC
@attribute simiCount NUMERIC
@attribute bookCount NUMERIC
@attribute bookExist NUMERIC
@attribute voteOrnot NUMERIC
@attribute freeOrnot NUMERIC
@data
309,4.10032,0,0,0,1,1
20,4.1,0,0,0,1,0
20,4.1,0,0,0,1,0
20,4.1,0,0,0,1,1
40,4.1,14,22,1,1,1
20,4.1,10,0,0,1,0
20,4.1,10,0,0,1,0
20,4.1,10,0,0,1,1
20,4.1,10,0,0,1,1
20,4.1,15,0,0,1,1
20,4.1,10,0,0,1,0
20,4.1,0,0,0,1,0
20,4.1,10,0,0,1,0
20,4.1,10,24,1,1,0
20,4.1,14,22,1,1,1
102,4.09804,9,0,0,1,1
103,4.09709,7,24,1,1,1
103,4.09709,10,0,0,1,1
38,4.09677,0,0,0,1,1
105,4.09524,15,23,1,1,1
84,4.09524,9,0,0,1,1
42,4.09524,10,0,0,1,1
42,4.09524,10,0,0,1,1
21,4.09524,0,0,0,1,0
21,4.09524,10,0,0,1,0
21,4.09524,10,0,0,1,1
21,4.09524,10,0,0,1,1
21,4.09524,10,0,0,1,1
21,4.09524,10,0,0,1,0
21,4.09524,10,0,0,1,0
21,4.09524,0,0,0,1,0
21,4.09524,12,22,1,1,1
21,4.09524,0,0,0,1,1
116,4.09483,10,0,0,1,1
95,4.09474,10,0,0,1,1
53,4.09434,5,0,0,1,1
44,4.09091,11,0,0,1,1
99,4.09091,9,0,0,1,1
22,4.09091,10,0,0,1,1
22,4.09091,10,0,0,1,0
22,4.09091,10,0,0,1,0
22,4.09091,10,0,0,1,1
22,4.09091,10,0,0,1,0
22,4.09091,0,0,0,1,0
22,4.09091,0,0,0,1,0
22,4.09091,0,0,0,1,1
22,4.09091,10,0,0,1,0
22,4.09091,0,0,0,1,0
22,4.09091,10,0,0,1,0
22,4.09091,0,0,0,1,0
22,4.09091,0,0,0,1,0
22,4.09091,7,0,0,1,1
100,4.09,10,0,0,1,1
78,4.08974,10,0,0,1,1
101,4.08911,8,12,1,1,1
101,4.08911,12,0,0,1,1
34,4.08824,10,0,0,1,1
103,4.08738,12,16,1,1,1
103,4.08738,10,0,0,1,1
23,4.08696,10,0,0,1,1
23,4.08696,10,0,0,1,0
23,4.08696,10,0,0,1,1
23,4.08696,10,0,0,1,0
23,4.08696,10,0,0,1,1
105,4.08571,16,23,1,1,1
47,4.08511,7,0,0,1,1
47,4.08511,7,0,0,1,1
47,4.08511,10,0,0,1,1
107,4.08411,6,24,1,1,1
48,4.08333,10,0,0,1,1
24,4.08333,7,23,1,1,1
24,4.08333,10,0,0,1,0
24,4.08333,10,0,0,1,0
24,4.08333,0,0,0,1,0
109,4.08257,10,0,0,1,1
109,4.08257,13,14,1,1,1
110,4.08182,8,19,1,1,1
98,4.08163,10,0,0,1,1
49,4.08163,0,0,0,1,1
123,4.0813,11,22,1,1,1
99,4.08081,10,0,0,1,1
99,4.08081,10,0,0,1,1
25,4.08,10,0,0,1,1
25,4.08,10,0,0,1,0
25,4.08,10,0,0,1,0
25,4.08,0,0,0,1,0
88,4.07955,9,0,0,1,1
51,4.07843,16,24,1,1,1
51,4.07843,10,0,0,1,1
90,4.07778,14,20,1,1,1
52,4.07692,9,0,0,1,1
26,4.07692,10,0,0,1,1
26,4.07692,10,0,0,1,0
79,4.07595,10,0,0,1,1
80,4.075,11,24,1,1,1
107,4.07477,10,0,0,1,1
94,4.07447,10,0,0,1,1
27,4.07407,10,0,0,1,1
110,4.07273,16,12,1,1,1
110,4.07273,10,0,0,1,1
55,4.07273,0,0,0,1,1
98,4.07143,9,0,0,1,1
98,4.07143,10,0,0,1,1
98,4.07143,10,0,0,1,1
28,4.07143,10,0,0,1,1
28,4.07143,10,0,0,1,1
114,4.07018,9,0,0,1,1
101,4.06931,6,0,0,1,1
58,4.06897,8,0,0,1,1
29,4.06897,10,0,0,1,1
29,4.06897,15,23,1,1,1
102,4.06863,10,0,0,1,1
44,4.06818,10,0,0,1,1
103,4.06796,10,0,0,1,1
118,4.0678,9,0,0,1,1
